,0,1,2,3,4,5,6,7,8,9,10,11,12,13
313,一,次,通,常,是,按,多,久,,,,,,
317,你,的,礼,券,是,六,十,分,钟,所,以,,,
321,我,不,要,那,么,,,,,,,,,
325,你,觉,得,二,十,分,钟,够,吗,,,,,
329,好,的,,,,,,,,,,,,
333,太,大,力,的,话,告,诉,我,,,,,,
337,太,大,力,了,,,,,,,,,,
341,这,样,呢,,,,,,,,,,,
342,太,大,力,,,,,,,,,,,
346,这,样,呢,,,,,,,,,,,
350,这,样,可,以,吗,,,,,,,,,
354,可,以,,,,,,,,,,,,
358,你,好,,,,,,,,,,,,
359,我,们,来,找,她,,,,,,,,,
363,她,一,直,没,出,来,所,以,,,,,,
364,不,能,退,款,吗,,,,,,,,,
368,礼,券,不,能,退,款,,,,,,,,
372,但,我,快,按,完,了,,,,,,,,
373,她,只,要,二,十,分,钟,,,,,,,
377,剩,下,的,四,十,分,钟,,,,,,,
378,可,以,换,那,颗,石,头,吗,,,,,,
382,我,们,今,天,用,六,个,假,名,,,,,
383,拿,到,维,他,富,生,的,赠,品,,,,,
387,还,有,汽,车,趋,势,杂,志,的,,,,,
388,道,奇,毒,蛇,抽,奖,,,,,,,,
392,能,获,得,免,费,的,遮,阳,板,,,,,
393,那,些,小,都,破,了,,,,,,,,
397,全,都,破,掉,了,,,,,,,,,
401,快,想,办,法,阻,止,,,,,,,,
405,泡,泡,公,司,,,,,,,,,,
409,运,动,水,壶,不,含,双,酚,,,,,,
410,附,赠,登,山,扣,环,,,,,,,,
414,这,个,以,前,应,该,没,拿,过,,,,,
418,以,星,期,三,来,说,还,不,赖,,,,,
422,你,们,,,,,,,,,,,,
426,你,们,三,位,,,,,,,,,,
430,我,有,份,工,作,,,,,,,,,
431,闭,嘴,继,续,走,,,,,,,,,
435,该,死,,,,,,,,,,,,
436,二,月,的,三,月,的,四,月,的,,,,,
440,我,们,可,能,要,分,期,付,款,,,,,
444,分,期,,,,,,,,,,,,
445,不,行,,,,,,,,,,,,
449,不,能,分,期,,,,,,,,,,
453,房,租,本,来,就,是,分,期,了,,,,,
457,每,个,月,付,一,次,,,,,,,,
461,明,早,就,能,凑,齐,房,租,,,,,,
465,二,月,三,月,四,月,,,,,,,,
466,总,共,一,千,五,百,元,,,,,,,
470,我,们,现,在,正,在,谈,工,作,,,,,
474,没,错,正,在,谈,了,,,,,,,,
478,一,个,月,只,要,五,百,元,,,,,,
482,但,会,漏,水,,,,,,,,,,
486,那,很,好,处,理,,,,,,,,,
490,固,定,时,间,才,会,漏,,,,,,,
494,你,们,会,清,理,墙,面,吧,,,,,,
498,没,错,,,,,,,,,,,,
499,很,好,湿,气,会,造,成,腐,蚀,,,,,
503,会,让,整,栋,建,筑,会,倒,塌,,,,,
507,会,损,失,很,大,,,,,,,,,
511,你,还,好,吗,,,,,,,,,,
515,这,是,我,的,毛,病,,,,,,,,
516,他,有,,,,,,,,,,,,
520,我,情,绪,很,直,接,,,,,,,,
524,没,什,么,大,不,了,的,不,要,理,我,,,
528,那,就,明,早,见,了,,,,,,,,
532,好,到,时,候,见,,,,,,,,,
536,另,一,边,,,,,,,,,,,
540,社,工,人,员,要,求,我,去,上,这,堂,课,,
544,但,我,要,忙,其,他,事,,,,,,,
545,如,果,她,能,代,我,出,席,,,,,,
549,这,里,有,报,名,表,拜,托,,,,,,
550,我,知,道,你,们,接,这,种,案,子,,,,
554,跟,他,们,谈,价,钱,,,,,,,,
558,我,可,以,付,二,十,元,,,,,,,
562,你,听,到,了,,,,,,,,,,
566,对,但,那,个,怎,么,办,,,,,,,
570,所,以,动,作,快,速,战,速,决,,,,,
574,谢,谢,,,,,,,,,,,,
578,我,喜,欢,你,的,,,,,,,,,
582,你,叫,什,么,名,字,,,,,,,,
586,凯,莉,你,叫,什,么,名,字,,,,,,
590,报,名,表,要,用,的,,,,,,,,
594,凯,莉,芬,恩,莉,有,草,字,头,,,,,
598,不,用,进,去,听,课,,,,,,,,
602,拿,到,黄,色,纸,条,就,可,以,走,了,,,
606,芬,恩,,,,,,,,,,,,
610,我,需,要,黄,色,纸,条,,,,,,,
614,可,以,找,朵,琳,达,拿,,,,,,,
618,她,在,那,边,,,,,,,,,,
622,正,向,育,儿,,,,,,,,,,
626,我,们,有,点,晚,开,始,,,,,,,
630,或,许,时,间,改,了,有,人,不,知,道,,,
631,请,找,位,置,坐,,,,,,,,,
635,这,是,你,的,纸,条,,,,,,,,
636,谢,谢,你,朵,琳,达,,,,,,,,
640,请,入,坐,,,,,,,,,,,
644,我,们,开,始,吧,,,,,,,,,
648,如,果,你,要,找,朵,琳,达,拿,社,工,回,条,
649,可,以,下,课,再,跟,她,拿,,,,,,
653,从,两,边,开,始,传,学,习,单,,,,,
657,一,人,一,张,往,下,传,,,,,,,
661,蓝,色,那,张,是,我,昨,天,提,过,的,,,
662,营,养,备,忘,录,,,,,,,,,
666,请,看,一,下,粉,红,色,表,单,,,,,
670,上,面,写,着,乳,房,爬,行,,,,,,
674,请,帮,我,播,影,片,谢,谢,,,,,,
678,这,个,方,法,,,,,,,,,,
679,能,促,进,母,亲,与,婴,儿,的,连,结,,,
683,把,刚,出,生,的,婴,儿,,,,,,,
684,放,到,妈,妈,的,肚,子,上,,,,,,
688,他,就,会,凭,自,己,的,力,量,,,,,
689,爬,到,乳,房,,,,,,,,,,
693,但,如,果,直,接,放,入,婴,儿,床,,,,
697,幼,儿,死,亡,率,会,攀,升,,,,,,
701,连,结,减,少,乳,量,也,会,减,少,,,,
705,我,们,昨,天,讲,过,,,,,,,,
706,这,些,都,很,重,要,记,得,吗,,,,,
710,婴,儿,靠,近,乳,头,时,会,张,开,嘴,,,
714,连,结,就,开,始,了,,,,,,,,
718,你,认,真,听,完,了,吗,,,,,,,
722,她,说,了,什,么,,,,,,,,,
726,说,了,乳,房,爬,行,,,,,,,,
727,我,也,会,做,那,个,,,,,,,,
731,很,酷,吧,,,,,,,,,,,
735,你,不,会,想,要,那,样,照,顾,婴,儿,,,
739,很,麻,烦,,,,,,,,,,,
743,谢,谢,您,耐,心,等,候,,,,,,,
744,专,人,马,上,为,您,服,务,,,,,,
748,你,在,做,什,么,,,,,,,,,
752,抱,歉,我,只,是,,,,,,,,,
756,我,们,赢,了,大,奖,但,无,法,使,用,,,
760,豪,华,度,假,之,旅,,,,,,,,
761,可,以,让,两,个,人,搭,头,等,舱,到,纽,约,
765,或,换,成,三,张,不,能,退,的,经,济,舱,机,票
769,他,不,可,能,搭,飞,机,,,,,,,
770,我,知,道,,,,,,,,,,,
774,所,以,或,许,我,们,,,,,,,,
778,那,是,什,么,,,,,,,,,,
782,上,课,的,时,候,拿,到,的,,,,,,
786,你,要,一,根,吗,,,,,,,,,
790,男,人,送,你,木,头,,,,,,,,
794,送,你,木,头,做,的,东,西,,,,,,
798,他,的,意,思,是,,,,,,,,,
802,你,让,我,硬,了,,,,,,,,,
806,我,去,过,纽,约,,,,,,,,,
810,我,们,两,个,可,以,一,起,去,,,,,
814,就,像,,,,,,,,,,,,
818,母,女,一,起,去,度,假,,,,,,,
822,你,好,史,托,维,克,原,来,你,在,这,里,,
826,外,套,很,好,看,,,,,,,,,
830,墙,面,清,了,吗,,,,,,,,,
831,清,了,,,,,,,,,,,,
835,特,蕾,莎,我,,,,,,,,,,
839,剩,下,的,马,上,会,补,齐,,,,,,
840,我,们,正,要,去,,,,,,,,,
844,这,是,什,么,,,,,,,,,,
845,汇,票,跟,钱,一,样,,,,,,,,
849,二,十,元,,,,,,,,,,,
853,我,们,先,去,收,信,然,后,,,,,,
857,这,个,嘛,应,该,值,五,十,元,,,,,
861,我,不,收,这,个,,,,,,,,,
865,我,受,不,了,了,,,,,,,,,
869,你,在,哭,吗,,,,,,,,,,
873,我,会,修,好,漏,水,,,,,,,,
877,然,后,赶,你,们,出,去,,,,,,,
881,这,里,可,以,租,一,万,元,,,,,,
882,你,们,知,道,吗,,,,,,,,,
886,我,们,有,孩,子,要,养,,,,,,,
890,那,面,墙,是,海,绵,,,,,,,,
894,海,绵,墙,壁,,,,,,,,,,
895,这,栋,建,筑,根,本,是,危,楼,,,,,
899,我,们,可,以,通,报,给,,,,,,,
900,卫,生,与,公,共,服,务,部,,,,,,
904,什,么,,,,,,,,,,,,
908,这,样,好,了,宽,限,我,们,到,星,期,五,,
912,星,期,五,一,定,给,你,,,,,,,
913,一,千,五,百,元,的,现,金,,,,,,
917,我,们,只,是,需,要,一,点,时,间,凑,齐,,
921,星,期,五,明,天,,,,,,,,,
925,是,明,天,,,,,,,,,,,
929,我,说,星,期,五,只,是,打,比,方,啦,,,
933,大,概,要,一,个,星,期,,,,,,,
937,下,周,五,,,,,,,,,,,
941,再,隔,一,周,,,,,,,,,,
945,下,下,周,五,,,,,,,,,,
949,对,,,,,,,,,,,,,
953,两,个,星,期,,,,,,,,,,
957,两,个,星,期,,,,,,,,,,
961,该,死,我,们,没,时,间,胡,闹,了,,,,
965,那,是,我,们,最,好,的,门,路,,,,,
969,那,是,新,的,摄,影,机,我,之,前,不,知,道,
973,这,样,真,的,很,糟,,,,,,,,
977,系,统,认,得,你,的,脸,就,完,了,,,,
981,会,罚,款,扣,押,退,休,金,跟,房,子,,,
985,你,想,要,这,些,东,西,吗,,,,,,
989,我,是,没,什,么,兴,趣,,,,,,,
993,我,也,是,,,,,,,,,,,
994,是,吗,真,有,趣,,,,,,,,,
998,因,为,多,数,人,都,想,当,亿,万,富,翁,,
1002,鼓,吹,拥,有,梦,想,,,,,,,,
1003,人,们,就,会,物,质,成,瘾,,,,,,
1007,对,糖,上,瘾,对,咖,啡,因,上,瘾,,,,
1011,让,你,整,天,又,哭,又,笑,,,,,,
1015,母,女,度,假,,,,,,,,,,
1019,那,是,要,怎,么,帮,我,们,筹,到,房,租,,
1023,老,天,快,点,动,脑,想,,,,,,,
1027,计,划,如,下,,,,,,,,,,
1031,星,期,三,我,们,一,起,飞,到,纽,约,,,
1035,回,程,时,要,假,装,不,认,识,彼,此,,,
1039,拿,行,李,的,时,候,尤,其,别,路,出,马,脚,
1043,不,可,以,看,我,,,,,,,,,
1047,我,在,四,处,张,望,,,,,,,,
1051,我,在,确,认,这,些,是,我,们,的,行,李,,
1055,抱,歉,先,生,,,,,,,,,,
1056,这,是,来,自,纽,约,班,机,的,行,李,吗,,
1060,你,们,两,个,认,识,,,,,,,,
1064,我,们,是,夫,妻,,,,,,,,,
1065,是,的,,,,,,,,,,,,
1069,了,解,了,,,,,,,,,,,
1073,原,来,是,我,太,蠢,啊,,,,,,,
1077,我,有,学,士,学,位,,,,,,,,
1078,她,连,大,学,是,什,么,都,不,知,道,,,
1082,然,后,你,不,小,心,拿,了,我,的,行,李,回,家
1086,我,会,待,在,机,场,通,报,遗,失,,,,
1090,幸,运,的,是,我,有,旅,游,保,险,,,,
1094,所,以,他,们,会,给,我,一,张,支,票,,,
1098,金,额,是,元,,,,,,,,,,
1102,我,们,可,以,在,隔,天,签,字,转,让,,,
1103,给,史,托,维,克,,,,,,,,,
1107,整,整,早,一,个,星,期,,,,,,,
1111,各,位,旅,客,我,们,碰,到,一,些,乱,流,,
1115,请,回,到,座,位,并,系,好,安,全,带,,,
1119,我,们,将,上,升,到,三,万,七,千,尺,,,
1120,让,旅,程,平,顺,一,些,,,,,,,
1124,正,常,呼,吸,,,,,,,,,,
1128,我,们,来,聊,天,好,吗,,,,,,,
1129,讲,讲,话,,,,,,,,,,,
1133,说,点,什,么,随,便,说,点,什,么,,,,
1137,不,要,祈,祷,,,,,,,,,,
1141,老,天,你,在,祈,祷,吗,讲,点,话,,,,
1145,你,好,吗,,,,,,,,,,,
1146,老,天,,,,,,,,,,,,
1150,你,好,吗,,,,,,,,,,,
1154,你,的,兴,趣,是,什,么,,,,,,,
1158,我,的,兴,趣,,,,,,,,,,
1159,对,,,,,,,,,,,,,
1163,我,不,知,道,你,要,我,说,什,么,,,,
1164,快,点,说,就,对,了,,,,,,,,
1168,有,人,认,为,新,生,儿,,,,,,,
1172,如,果,你,把,他,放,在,肚,子,上,,,,
1173,他,会,自,己,爬,向,母,亲,的,乳,房,,,
1177,但,如,果,直,接,放,进,婴,儿,床,,,,
1181,好,像,会,变,得,更,爱,哭,,,,,,
1185,但,是,乳,房,爬,行,的,婴,儿,,,,,
1186,不,要,说,乳,房,,,,,,,,,
1190,我,只,是,好,奇,婴,儿,怎,么,知,道,,,
1194,不,要,说,了,,,,,,,,,,
1198,乱,流,过,去,了,,,,,,,,,
1202,说,这,些,的,重,点,是,什,么,,,,,
1206,他,叫,我,讲,话,,,,,,,,,
1210,你,怀,孕,了,,,,,,,,,,
1214,我,当,初,是,被,放,在,妈,妈,身,上,,,
1215,还,是,婴,儿,床,,,,,,,,,
1219,回,答,我,,,,,,,,,,,
1223,没,有,,,,,,,,,,,,
1227,怎,么,可,能,啊,,,,,,,,,
1231,婴,儿,床,,,,,,,,,,,
1235,她,怀,孕,了,,,,,,,,,,
1239,没,有,,,,,,,,,,,,
1243,我,妈,住,在,新,泽,西,,,,,,,
1247,我,们,没,有,很,亲,,,,,,,,
1251,我,搬,到,洛,杉,矶,后,就,很,少,联,络,了,
1255,我,来,这,里,将,近,一,年,了,,,,,
1259,很,难,认,识,新,朋,友,,,,,,,
1263,你,们,也,是,吗,,,,,,,,,
1264,好,吧,还,有,什,么,,,,,,,,
1268,我,住,在,高,地,公,园,繁,荣,区,上,方,,
1272,你,对,这,个,话,题,,,,,,,,
1273,可,以,继,续,说,,,,,,,,,
1277,好,,,,,,,,,,,,,
1278,说,就,对,了,继,续,,,,,,,,
1282,我,是,西,达,赛,奈,的,眼,科,医,师,助,理,
1286,这,种,程,度,的,乱,流,,,,,,,
1287,算,是,正,常,的,吗,,,,,,,,
1291,是,的,,,,,,,,,,,,
1292,真,的,吗,,,,,,,,,,,
1296,千,真,万,确,,,,,,,,,,
1297,了,解,,,,,,,,,,,,
1301,完,蛋,了,,,,,,,,,,,
1302,什,么,,,,,,,,,,,,
1306,我,以,为,我,忘,了,带,耳,机,,,,,
1310,飞,机,上,有,无,线,网,路,吗,,,,,
1314,我,不,记,得,了,,,,,,,,,
1318,有,耶,但,要,钱,,,,,,,,,
1322,为,什,么,要,这,样,,,,,,,,
1323,你,最,好,关,机,,,,,,,,,
1327,这,个,吗,,,,,,,,,,,
1328,我,知,道,但,我,忍,不,住,,,,,,
1332,睡,觉,都,要,拿,着,形,影,不,离,,,,
1336,那,是,工,具,,,,,,,,,,
1340,原,本,是,军,方,和,情,报,圈,设,计,的,,
1344,主,要,用,于,中,情,局,,,,,,,
1345,跟,陆,军,的,地,面,行,动,,,,,,
1349,是,强,大,却,也,危,险,的,工,具,,,,
1353,你,没,有,手,机,吗,,,,,,,,
1357,我,只,当,作,工,具,使,用,,,,,,
1361,不,会,帮,它,打,扮,拿,来,玩,游,戏,,,
1365,那,你,可,别,遇,到,我,妈,她,可,是,,,
1369,她,成,天,玩,手,机,停,都,停,不,下,来,,
1373,太,好,了,,,,,,,,,,,
1377,给,她,一,杯,螺,丝,起,子,,,,,,
1378,我,不,用,,,,,,,,,,,
1382,琴,通,宁,,,,,,,,,,,
1386,给,你,开,一,瓶,新,的,吧,,,,,,
1390,谢,谢,,,,,,,,,,,,
1391,不,客,气,,,,,,,,,,,
1395,相,信,我,喝,完,就,舒,服,了,,,,,
1399,干,杯,,,,,,,,,,,,
1403,我,只,担,心,思,绪,不,够,清,晰,的,话,,
1407,万,一,真,的,碰,到,了,危,机,,,,,
1411,你,是,,,,,,,,,,,,
1415,我,阿,姨,有,个,朋,友,是,艾,米,许,人,,
1419,我,们,不,是,艾,米,许,人,,,,,,
1420,我,们,会,喝,酒,,,,,,,,,
1424,受,伤,就,会,喝,,,,,,,,,
1428,减,轻,疼,痛,,,,,,,,,,
1432,听,起,来,就,是,艾,米,许,人,,,,,
1436,我,知,道,很,多,人,歧,视,你,们,,,,
1440,我,朋,友,以,前,是,上,贵,格,会,学,校,,
1444,让,我,,,,,,,,,,,,
1448,这,也,太,巧,合,了,,,,,,,,
1452,很,好,,,,,,,,,,,,
1456,喝,掉,,,,,,,,,,,,
1460,派,对,开,始,了,,,,,,,,,
1464,你,没,住,过,普,洛,维,登,斯,,,,,
1468,从,来,没,有,,,,,,,,,,
1472,太,奇,怪,了,,,,,,,,,,
1476,那,个,女,孩,很,像,,,,,,,,
1477,那,男,的,一,直,盯,着,你,,,,,,
1481,我,知,道,我,可,以,处,理,,,,,,
1485,各,位,检,查,一,下,你,们,的,口,袋,,,
1489,这,可,能,是,调,包,手,法,,,,,,
1493,什,么,手,法,,,,,,,,,,
1497,分,散,注,意,力,他,可,能,是,扒,手,,,
1501,你,是,说,小,偷,,,,,,,,,
1502,对,,,,,,,,,,,,,
1506,刚,刚,才,不,是,那,样,,,,,,,
1510,你,不,懂,这,种,事,,,,,,,,
1514,我,不,懂,,,,,,,,,,,
1518,我,天,天,都,遇,到,这,种,事,,,,,
1522,什,么,,,,,,,,,,,,
1526,所,以,,,,,,,,,,,,
1530,你,们,是,做,什,么,的,,,,,,,
1534,拜,托,我,什,么,都,说,了,,,,,,
1538,我,住,哪,里,祖,母,叫,什,么,都,说,了,,
1542,你,们,呢,你,们,是,,,,,,,,
1546,教,授,吗,,,,,,,,,,,
1550,对,,,,,,,,,,,,,
1551,是,吗,,,,,,,,,,,,
1555,我,猜,得,真,准,,,,,,,,,
1559,不,对,你,不,是,教,授,,,,,,,
1563,你,比,较,像,,,,,,,,,,
1567,你,自,认,是,可,靠,的,人,吗,,,,,
1571,值,得,信,赖,吗,,,,,,,,,
1572,你,不,用,回,答,,,,,,,,,
1576,是,的,,,,,,,,,,,,
1580,我,们,在,机,场,要,干,一,票,大,的,,,
1584,我,就,知,道,你,们,图,谋,不,轨,,,,
1588,我,们,两,个,人,却,有,三,件,行,李,,,
1592,这,样,你,懂,了,吗,,,,,,,,
1596,毫,无,头,绪,,,,,,,,,,
1600,好,像,在,那,里,,,,,,,,,
1601,是,吗,,,,,,,,,,,,
1605,那,是,你,们,两,个,的,,,,,,,
1606,对,,,,,,,,,,,,,
1610,我,好,像,看,到,了,,,,,,,,
1611,真,的,吗,,,,,,,,,,,
1615,我,帮,你,拿,小,行,李,吧,,,,,,
1616,好,啊,,,,,,,,,,,,
1620,好,,,,,,,,,,,,,
1624,拿,去,,,,,,,,,,,,
1628,谢,谢,,,,,,,,,,,,
1632,这,是,最,后,一,件,,,,,,,,
1636,你,东,西,都,拿,了,,,,,,,,
1640,我,们,走,吧,,,,,,,,,,
1644,如,果,真,的,不,幸,遗,失,了,,,,,
1648,你,的,旅,游,保,险,可,以,支,付,,,,
1652,最,多,元,,,,,,,,,,,
1656,只,要,确,认,遗,失,就,能,拿,到,这,笔,钱,
1660,这,通,常,要,花,多,久,时,间,,,,,
1664,相,当,快,最,长,六,周,,,,,,,
1668,最,短,呢,,,,,,,,,,,
1672,这,很,难,说,,,,,,,,,,
1676,但,别,担,心,,,,,,,,,,
1680,行,李,遗,失,是,很,罕,见,的,情,况,,,
1684,我,相,信,一,定,会,找,到,的,,,,,
1688,没,错,这,里,很,划,算,的,,,,,,
1692,她,来,了,别,担,心,我,来,处,理,,,,
1696,女,士,让,我,为,您,带,位,,,,,,
1700,跟,着,演,,,,,,,,,,,
1701,行,李,能,获,赔,多,少,钱,,,,,,
1705,我,大,学,同,学,也,用,过,这,招,,,,
1709,在,圣,诞,假,期,弄,丢,行,李,,,,,
1710,应,该,可,以,拿,到,,,,,,,,
1714,这,个,手,法,是,我,自,己,发,明,的,,,
1718,好,吧,,,,,,,,,,,,
1722,怎,么,样,,,,,,,,,,,
1726,我,不,知,道,周,五,前,能,不,能,拿,到,支,票
1730,什,么,,,,,,,,,,,,
1734,或,许,可,以,但,是,,,,,,,,
1738,也,可,能,要,六,个,星,期,,,,,,
1742,六,个,星,期,,,,,,,,,,
1746,那,就,太,迟,了,,,,,,,,,
1750,我,搭,飞,机,冒,了,生,命,危,险,,,,
1754,抱,歉,,,,,,,,,,,,
1758,六,个,星,期,真,的,是,,,,,,,
1762,可,能,会,快,一,点,不,一,定,,,,,
1766,什,么,会,快,一,点,,,,,,,,
1767,支,票,,,,,,,,,,,,
1771,她,到,底,是,谁,,,,,,,,,
1775,为,什,么,要,让,她,加,入,我,,,,,
1779,我,真,的,不,懂,,,,,,,,,
1783,我,去,上,一,下,洗,手,间,好,了,,,,
1787,故,障,了,,,,,,,,,,,
1791,要,去,外,面,加,油,站,那,边,上,,,,
1795,喂,,,,,,,,,,,,,
1796,你,终,于,接,了,,,,,,,,,
1800,我,打,了,好,几,通,耶,,,,,,,
1804,抱,歉,我,开,飞,航,模,式,,,,,,
1808,所,以,你,降,落,了,,,,,,,,
1809,到,家,了,吧,很,好,,,,,,,,
1813,我,正,在,看,古,董,节,目,,,,,,
1814,你,也,在,看,吗,,,,,,,,,
1818,对,啊,你,先,睡,吧,,,,,,,,
1819,我,们,明,天,再,聊,,,,,,,,
1823,你,上,床,了,吗,舒,服,吗,,,,,,
1827,把,羊,毛,枕,头,放,到,膝,盖,下,面,,,
1831,我,放,了,很,舒,服,,,,,,,,
1835,你,有,小,零,嘴,可,以,吃,吗,,,,,
1839,我,看,不,清,楚,你,的,脸,,,,,,
1843,好,暗,,,,,,,,,,,,
1844,灯,坏,了,,,,,,,,,,,
1848,这,样,吧,,,,,,,,,,,
1852,我,帮,你,订,一,个,自,黏,灯,,,,,
1853,你,以,前,房,间,里,那,款,,,,,,
1857,只,要,打,开,开,关,,,,,,,,
1861,你,那,边,几,点,了,,,,,,,,
1865,我,们,的,作,息,差,太,多,,,,,,
1869,我,知,道,作,息,一,样,,,,,,,
1870,你,会,比,较,习,惯,,,,,,,,
1874,但,现,在,不,可,能,,,,,,,,
1875,没,错,,,,,,,,,,,,
1879,到,货,时,间,是,星,期,二,,,,,,
1883,不,对,是,星,期,二,没,错,,,,,,
1887,那,盒,冰,茶,收,到,了,吗,,,,,,
1891,我,早,上,看,到,一,个,东,西,就,想,到,你,
1895,你,一,定,会,很,开,心,,,,,,,
1899,输,入,维,莫,滤,茶,壶,,,,,,,
1903,点,按,下,方,的,照,片,,,,,,,
1907,然,后,放,大,,,,,,,,,,
1911,这,个,人,的,旧,摇,椅,,,,,,,
1912,可,以,卖,五,十,万,元,耶,,,,,,
1916,他,超,意,外,的,完,全,不,知,道,,,,
1920,我,想,到,一,个,妙,招,,,,,,,
1924,能,赚,到,一,千,五,百,元,,,,,,
1928,我,要,开,始,说,了,,,,,,,,
1932,我,不,是,医,师,助,理,,,,,,,
1936,那,是,我,临,时,乱,编,的,总,之,,,,
1940,我,在,拱,廊,商,店,街,的,,,,,,
1941,亚,布,拉,罕,眼,镜,行,工,作,,,,,
1945,那,一,家,是,最,烂,的,分,店,,,,,
1949,在,那,里,根,本,是,浪,费,生,命,,,,
1953,整,天,卖,老,花,眼,镜,给,麻,烦,的,老,人,
1957,尖,酸,刻,薄,但,又,寂,寞,无,助,的,老,人,
1961,他,们,邀,请,我,去,过,复,活,节,和,打,麻,将
1965,看,他,们,的,相,簿,,,,,,,,
1969,我,没,去,因,为,很,恶,心,,,,,,
1973,但,我,去,的,话,,,,,,,,,
1974,肯,定,会,找,到,厉,害,的,古,董,,,,
1978,真,的,,,,,,,,,,,,
1982,不,是,什,么,珍,贵,文,物,,,,,,
1983,但,我,有,感,觉,,,,,,,,,
1987,如,果,我,说,我,喜,欢,,,,,,,
1991,他,们,就,会,送,我,或,便,宜,卖,我,,,
1995,我,们,就,能,转,卖,换,一,点,小,钱,,,
1999,棒,吧,,,,,,,,,,,,
2003,我,们,要,把,古,董,卖,给,谁,,,,,
2007,我,们,可,以,,,,,,,,,,
2011,在,跳,蚤,市,场,摆,摊,,,,,,,
2015,我,喜,欢,跳,蚤,市,场,很,文,青,,,,
